1112 1243 1
3745 295 1
1925 885 1
3682 6 1
2997 128 1
2679 96 1
195 715 1
1069 1164 1
1690 815 1
5738 1723 1
3003 243 1
1920 576 1
5178 624 1
840 1872 1
3827 844 1
2540 240 1
5289 682 1
5035 693 1
5246 3254 1
752 633 1
4591 189 1
3600 711 1
4344 191 1
3208 357 1
354 4 1
620 891 1
5707 2614 1
5505 633 1
2129 2389 1
4556 766 1
2583 38 1
1448 634 1
1069 2472 1
3538 686 1
2002 1457 1
1133 983 1
4107 1305 1
6018 309 1
2818 1136 1
3621 849 1
1422 1150 1
2793 57 1
2931 91 1
5530 654 1
1635 47 1
5518 534 1
5260 128 1
2664 135 1
3751 57 1
630 553 1
4501 663 1
2117 4 1
5762 3147 1
5100 117 1
1464 459 1
192 1266 1
5585 484 1
1430 318 1
5550 606 1
5442 256 1
1380 79 1
5605 2675 1
2583 722 1
3666 306 1
1636 930 1
731 567 1
5566 421 1
3961 1845 1
566 2556 1
3210 219 1
3676 724 1
2608 210 1
1308 150 1
2383 265 1
1650 246 1
4077 417 1
1449 602 1
5048 846 1
4725 238 1
1636 292 1
4631 644 1
1569 1638 1
4240 6 1
1150 1122 1
3975 199 1
3301 2611 1
1388 874 1
2097 1675 1
4689 133 1
4108 64 1
2848 1 1
1101 1122 1
638 128 1
5925 46 1
3228 244 1
557 172 1
3029 33 1
4647 247 1
5417 2663 1
2304 1257 1
4468 339 1
4088 1766 1
3532 247 1
3509 1231 1
1084 787 1
4009 716 1
2136 700 1
533 741 1
4238 94 1
2895 70 1
3759 788 1
281 247 1
3192 679 1
237 87 1
2320 522 1
5848 727 1
5831 984 1
4033 770 1
2994 738 1
5679 1229 1
549 1 1
1285 1575 1
498 1016 1
5978 554 1
2786 322 1
3300 923 1
3963 79 1
3477 1443 1
5780 926 1
4879 585 1
3163 1219 1
5142 523 1
955 2265 1
1805 844 1
1839 105 1
4610 350 1
4649 24 1
4053 842 1
5906 589 1
3328 161 1
3778 1937 1
4510 442 1
4386 719 1
331 1523 1
744 1548 1
4867 46 1
2694 1156 1
148 641 1
2801 481 1
991 386 1
1080 119 1
869 3097 1
1780 47 1
3620 128 1
4861 862 1
6021 6 1
5011 79 1
4670 727 1
468 438 1
4979 212 1
1733 757 1
3416 1277 1
3741 1879 1
4732 975 1
1947 1108 1
5620 305 1
5074 778 1
3930 240 1
